Class,Description
D05B21/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices automatically controlling movement workcarrier relative stitchforming mechanism order obtain particular configuration seam eg programmecontrolled collars attaching pockets
D05B23/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting apparatus otherwise provided making zip closures
D05B25/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting units consisting combinations several
D05B27/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting workfeeding means
D05B29/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting pressers presser feet feeding
D05B31/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting workpiece holders holddowns leather
D05B33/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices incorporated supplying removing work
D05B35/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting workfeeding handling elements otherwise provided
D05B37/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices incorporated slitting grooving cutting severing sewingthreads
D05B39/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting workpiece carriers automatically controlling movement workcarrier obtain particular configuration seam general
D05B41/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting workcollecting devices
D05B43/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting spoolpin assemblies incorporated
D05B45/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting applications measuring devices determining length threads used embroidery general
D05B47/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting needlethread tensioning devices applications tensometers
D05B49/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting takeup devices eg levers needle thread
D05B51/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting applications needlethread guards threadbreak detectors embroidery
D05B53/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting thread cordlaying mechanisms fingers
D05B55/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting needle holders bars needles
D05B57/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting loop takers eg loopers
D05B59/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting applications bobbinwinding changing devices indicating control associated therewith
D05B61/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting loop holders spreaders stitchforming fingers
D05B63/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices associated looptaker thread eg tensioning
D05B65/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices severing needle lower thread
D05B67/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting devices incorporated lubricating waxing colouring threads
D05B69/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting drivinggear control devices
D05B71/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting lubricating cooling devices
D05B73/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting casings
D05B75/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting frames stands furniture adapted carry aspects
D05B77/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting covers portable enclosures
D05B79/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting incorporations adaptations lighting equipment
D05B81/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting incorporating devices serving purposes eg blowing air grinding
D05B83/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting guards like devices preventing injury operator machine safety general
D05B85/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting needles surgical manufacture
D05B87/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting needle looper threading devices
D05B89/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting seamripping devices
D05B91/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting tools implements accessories hand needles needle threaders
D05B93/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting stitches stitch seams
D05B95/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting preparatory finishing operations connection hand
D05B97/00,sewing  embroidering tufting appliances tailoring trade tables bookbinding machines modified knitting hand processes apparatus special work otherwise provided
D05C1/00,sewing  embroidering tufting making nonwoven fabrics apparatus devices tools hand
D05C3/00,sewing  embroidering tufting making nonwoven fabrics general types machines
D05C5/00,sewing  embroidering tufting making nonwoven fabrics machines arrangements automatic control series individual steps
D05C7/00,sewing  embroidering tufting making nonwoven fabrics specialpurpose automatic machines
D05C9/00,sewing  embroidering tufting making nonwoven fabrics appliances holding feeding base fabric machines
D05C11/00,sewing  embroidering tufting making nonwoven fabrics devices guiding feeding handling treating threads machines machine needles operating control mechanisms therefor
D05C13/00,sewing  embroidering tufting making nonwoven fabrics auxiliary devices incorporated machines otherwise provided ancillary apparatus use
D05C15/00,sewing  embroidering tufting making nonwoven fabrics pile articles similar surface features inserting loops base material layered products
D05C17/00,sewing  embroidering tufting making nonwoven fabrics embroidered tufted products base specially adapted work inserts producing surface irregularities layered pile
D05D2203/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to selection machines accessories parts kind
D05D2205/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to interface operator machine
D05D2207/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to use special elements
D05D2209/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to use special materials
D05D2303/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to applied objects articles
D05D2305/00,sewing  embroidering tufting indexing scheme associated with subclasses and relating to operations work
D06B1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments applying onto effect eg washing dyeing bleaching sizing impregnating mercerising solventtreatment selected parts aid vibration
D06B3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments passing effect eg washing dyeing bleaching sizing impregnating mercerising solventtreatment selected parts aid vibration
D06B5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments forcing effect eg washing dyeing bleaching sizing impregnating mercerising solventtreatment selected parts aid vibration
D06B7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments mercerising eg lustring
D06B9/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments solventtreatment
D06B11/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments selected parts eg partial dyeing
D06B13/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments aid vibration
D06B15/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments removing association
D06B17/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments storing association carriers supports specially adapted therefor
D06B19/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments groups â
D06B21/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments successive treatments characteristics single interest main group see relevant groups
D06B23/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments component parts details accessories apparatus machines specially adapted restricted particular kind groups â
D06B2700/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for treating textile using liquids gases vapours mechanical natural fibrous filamentary material obtain fibres filaments eg bleaching dyeing mercerising impregnating washing fulling fabrics
D06C3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics spreading producing elasticity shaping tubular upon cores internal frames
D06C5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics shaping tubular upon cores internal frames
D06C7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics heating cooling
D06C9/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics singeing making patterns designs
D06C11/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics teasing napping roughening raising pile making patterns designs
D06C13/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics shearing clipping cropping surfaces pile cutting trimming seamed edges making patterns designs
D06C15/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics calendering pressing ironing glossing glazing making patterns designs
D06C17/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics fulling
D06C19/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics breaking softening calendering pressing beetling fulling
D06C21/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics shrinking compressing
D06C23/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics making patterns designs
D06C25/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics treating selvedges edges eg stiffening
D06C27/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics compound processes apparatus
D06C29/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics preceding groups
D06C2700/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for finishing dressing tentering stretching textile fabrics decoration except bleaching dyeing printing mercerising washing fulling
D06F1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing receptacles machines
D06F3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles hand rubbing apparatus corrugated tubwalls
D06F5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles hand implements washing purposes eg sticksâ rubbing appliances
D06F7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing devices adapted used independently particular receptacle eg removable mounting washtubs bathtubs
D06F9/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles brushingtype washing machines
D06F11/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines using rollers eg mangle type
D06F13/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles stationary purposes agitators therein contacting washedâ plungers adapted removable mounting
D06F15/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines beating rubbing squeezing means receptacles stationary purposes plungers adapted removable mounting mangletype
D06F17/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles stationary purposes wherein action effected solely circulation agitation liquid
D06F18/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles stationary purposes meansâ control domestic laundry dryers
D06F19/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines using vibrations purposes
D06F21/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles eg perforated rotary movement oscillatory movementâ serving centrifugally separating water laundry programme control aspects
D06F23/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles eg perforated rotary movement oscillatory receptacle serving centrifugally separating water laundryâ means programme control aspects
D06F25/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles eg perforated rotary movement oscillatory receptacle serving centrifugally separating water laundry means using hot airâ control domestic dryers
D06F27/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines receptacles moving bodily eg reciprocating swinging
D06F29/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles combinations washing machine separate apparatus common frame eg rinsing
D06F31/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing installations comprising assembly several machines units eg continuous flow assemblies
D06F33/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles control operations performed washing machines washerdryersâ takes precedence details systems therefor domestic laundry dryers
D06F34/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles details control systems washing machines washerdryers laundry dryers
D06F35/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles washing machines apparatus methods
D06F37/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles details specific washing machines covered groups
D06F39/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles details washing machines specific single type covered groups control
D06F41/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles rinsing apparatus
D06F43/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles drycleaning apparatus methods using volatile solvents â take precedence
D06F45/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles wringing machines two cooperating rollers similar coldsmoothing apparatus
D06F47/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus press type expelling water linen
D06F49/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles domestic spindryers similar suitable industrial use
D06F51/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus expelling draining water linen preceding groups
D06F53/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles clotheslines supports thereforâ frames incorporating
D06F55/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles clothespegs
D06F57/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles supporting means simple clotheslines linen garments dried airedâ combination heating positive air circulation adapted retain shape particular
D06F58/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles domestic laundry dryers
D06F59/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles supports adapted retain shape particular dried eg incorporating heating means devices retaining hats
D06F60/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles groups â
D06F61/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles machines using two cooperating rollers
D06F63/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles machines roller rollers coacting fixed moving flat bed table coverings pads
D06F65/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles machines rollers rotating curved surfaces
D06F67/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles details machines groups coverings pads members
D06F69/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles machines
D06F71/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus hotpressing clothes linen ie wherein substantially relative movement element article pressure applied similar machines coldpressing
D06F73/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus smoothing removing creases garments formers cores stretchers internal frames application heat steamâ combined external pressure means
D06F75/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles hand irons
D06F77/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles arrangements exerting pressure lifting guiding hand irons
D06F79/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles accessories hand irons
D06F81/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles boardsâ coverings pads therefor kitchen cabinets boards movable outwards position use
D06F83/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles coverings pads members
D06F85/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles independent elements interposition article surface
D06F87/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus moistening conditioning article ironed pressed smoothing removing creases garments formers cores stretchers internal frames application heat steam devices used combination laundry dryer
D06F89/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles apparatus without stapling
D06F91/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles starching apparatus
D06F93/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles counting sorting marking arrangements specially adapted laundry purposes
D06F95/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles laundry systems arrangements apparatus machines mobile laundriesâ takes precedence
D06F2101/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles user input control domestic laundry washing machines washerdryers dryers
D06F2103/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles parameters monitored detected control domestic laundry washing machines washerdryers dryers
D06F2105/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drying ironing pressing folding textile articles systems parameters controlled affected control washing machines washerdryers laundry dryers
D06G1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for mechanical pressure cleaning carpets rugs sacks hides other skin textile articles fabrics turning insideout tubular hollow beating brushing mechanically
D06G3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for mechanical pressure cleaning carpets rugs sacks hides other skin textile articles fabrics turning insideout tubular hollow combination inspecting tubes inside shaping joining plastics substances plastic state
D06G5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for mechanical pressure cleaning carpets rugs sacks hides other skin textile articles fabrics turning insideout tubular hollow vacuum combination
D06H1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for marking inspecting seaming severing textile sewing combination metering
D06H3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for marking inspecting seaming severing textile sewing
D06H5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for marking inspecting seaming severing textile sewing splicing webs felts papermaking machines
D06H7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for marking inspecting seaming severing textile sewing apparatus processes cutting specially adapted web delivery incorporating devices
D06J1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for pleating kilting goffering textile fabrics wearing apparel corrugating creasing deforming paper material worked manner analogous without removing sewing
D06L1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for drycleaning washing bleaching fibres filaments threads yarns fabrics feathers madeup fibrous goods leather furs
D06M7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such treating substances subsequent freeing treated medium eg swelling polyolefins takes precedence filaments glass mineral slag wool carbon
D06M10/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such physical eg ultrasonic corona discharge irradiation electric currents magnetic fields combined chemical compounds elements
D06M11/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such treating inorganic substances complexes thereof combined mechanical eg mercerising takes precedence
D06M13/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such treating nonmacromolecular organic compounds take precedence complexes amines inorganic substances combined mechanical
D06M14/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such graft polymerisation monomers containing carbontocarbon unsaturated bonds unshaped polymers â
D06M15/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such treating macromolecular compounds combined mechanical take precedence inorganic polyphosphates
D06M16/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such biochemical eg enzymatic
D06M17/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such producing multilayer textile
D06M19/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such
D06M23/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such characterised process
D06M2101/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such chemical constitution treated
D06M2200/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such functionality composition andor properties imparted textile material
D06M2400/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for elsewhere in class fibres threads yarns fabrics feathers fibrous goods made from such specific information process
D06N1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet linoxyn polymerised oxidised resin
D06N3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet obtained webs resins rubber derivatives thereof
D06N5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet comprising bitumen another polymer pitch compositions bituminous roof underlays
D06N7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet textile threads filaments yarns tow glued paperbased boardbased structures surface
D06N2201/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet chemical constitution fibres threads yarns
D06N2203/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet coating layers
D06N2205/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet condition form state
D06N2207/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet treatments energy chemical effects
D06N2209/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet properties
D06N2211/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet specially adapted uses
D06N2213/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for wall floor covering eg linoleum oilcloth artificial leather roofing felt consisting a fibrous web coated with layer macromolecular material sheet others characteristics
D06P1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for dyeing printing leather furs solid macromolecular substances in any form general processes classified according dyes pigments auxiliary employed
D06P3/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for dyeing printing leather furs solid macromolecular substances in any form special processes classified according material treated
D06P5/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for dyeing printing leather furs solid macromolecular substances in any form other features
D06P7/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for dyeing printing leather furs solid macromolecular substances in any form processes combined mechanical
D06Q1/00,treatment of textiles or the like  laundering flexible materials not otherwise provided for decorating textile threads filaments yarns tow glued macromolecular material
D07B1/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential constructional features
D07B3/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential generalpurpose machines apparatus producing twisted component strands different material
D07B5/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential making special materials particular form
D07B7/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential details auxiliary devices incorporated rope cablemaking machines apparatus associated
D07B9/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential binding sealing ends eg prevent unravelling
D07B2201/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential
D07B2205/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential rope cable materials
D07B2207/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential rope cable making machines
D07B2301/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential controls
D07B2401/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential related problem solved advantage
D07B2501/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential application field
D07B2801/00,ropes  cables other than electric or in general joining one another objects mountaineering mechanical finishing dressing braiding decorative cords suspension bridges specially adapted driving driven pulleys gearing elements joints insofar electrical aspects essential linked indexing codes associated classes
D10B2101/00,indexing scheme associated with sublasses of section d  relating to textiles inorganic fibres
D10B2201/00,indexing scheme associated with sublasses of section d  relating to textiles cellulosebased fibres eg vegetable
D10B2211/00,indexing scheme associated with sublasses of section d  relating to textiles proteinbased fibres eg animal
D10B2321/00,indexing scheme associated with sublasses of section d  relating to textiles fibres made polymers obtained reactions involving carbontocarbon unsaturated bonds
D10B2331/00,indexing scheme associated with sublasses of section d  relating to textiles fibres made polymers obtained otherwise reactions involving carbontocarbon unsaturated bonds eg polycondensation products
D10B2401/00,indexing scheme associated with sublasses of section d  relating to textiles physical properties
D10B2403/00,indexing scheme associated with sublasses of section d  relating to textiles details fabric structure established forming process
D10B2501/00,indexing scheme associated with sublasses of section d  relating to textiles wearing apparel
D10B2503/00,indexing scheme associated with sublasses of section d  relating to textiles domestic personal
D10B2505/00,indexing scheme associated with sublasses of section d  relating to textiles industrial
D10B2507/00,indexing scheme associated with sublasses of section d  relating to textiles sport military
D10B2509/00,indexing scheme associated with sublasses of section d  relating to textiles medical hygiene
D21B1/00,papermaking  production of cellulose fibrous raw materials or their mechanical treatment pretreatment finelydivided digesting methods beating refining pulp purification suspension means
D21C1/00,papermaking  production of cellulose by removing noncellulose substances from cellulosecontaining materials regeneration pulping liquors apparatus therefor pretreatment finelydivided digesting waste paper
