Class,Description
A01C11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â transplanting
A01C13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â apparatus consolidating soil around plants
A01C14/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â methods apparatus provided groups subclass
A01C15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â fertiliser distributors combined seeders
A01C17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â fertilisers seeders centrifugal wheels
A01C19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â arrangements driving working fertilisers seeders takes precedence
A01C21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â methods
A01C23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â distributing devices specially adapted liquid manure including ammonia eg transport tanks sprinkling wagons
A01D1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing handcutting implements hedge trimming means general making sheet metal rolling
A01D3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing nonabrasive sharpening devices scythes sickles like
A01D5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing containers whetstones use
A01D7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing rakes mowers convertible capable raking combined
A01D9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing forks making sheet metal rolling
A01D11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing other hand implements maize cotton
A01D13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing diggers eg potato ploughs
A01D15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing digging machines sieve graters without conveying mechanisms
A01D17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing digging machines sieving conveying mechanisms
A01D19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing digging machines centrifugal wheels drums spinners
A01D21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing digging machines potatopicking implements
A01D23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing topping machines
A01D25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing lifters beet like crops
A01D27/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing machines topping lifting mechanisms
A01D29/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing harvesters peanuts
A01D31/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing other digging harvesters asparagus
A01D33/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing accessories digging harvesters
A01D34/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing mowers combined apparatus performing additional operations â convertible purposes capable harvesters
A01D37/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing reaperbinders equipment thereon binding harvested produce eg knotters
A01D39/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing independent binders eg hay attachable mowers equipment thereon binding harvested produce knotters stationary apparatus hand tools forming straw bundles bundling articles knotting
A01D41/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing combines ie harvesters mowers combined threshing devices
A01D42/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing mowers convertible apparatus purposes capable performing operations combined additional
A01D43/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing mowers combined apparatus performing additional operations take precedence
A01D44/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing underwater plants eg seaweed
A01D45/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing standing crops takes precedence threshing machines adapted special devices combines mushrooms
A01D46/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing picking fruits vegetables hops like devices shaking trees shrubs
A01D47/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing headers topping plants eg stalks ears
A01D51/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing apparatus gathering together crops spread soil eg apples beets nuts potatoes cotton cane sugar
A01D57/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing delivering mechanisms harvesters mowers
A01D59/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing equipment binding harvested produce specially adapted baling presses
A01D61/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing elevators conveyors binders combines
A01D63/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing outside dividers
A01D65/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing graincrop lifters
A01D67/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing undercarriages frames specially adapted harvesters mowers coupling arrangements tractor harvester mower mechanisms adjusting frame devices cutterbar platforms
A01D69/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing driving mechanisms parts thereof harvesters mowers cutters
A01D75/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing accessories harvesters mowers
A01D76/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing haymakers tines stationary respect machine operation may liftable dumping
A01D78/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing haymakers tines moving respect machine
A01D80/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing parts details accessories haymakers specific one type machine see relevant groups machines
A01D82/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing crop conditioners ie machines crushing bruising stalks combined harvesters
A01D84/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing haymakers provided single one groups â
A01D85/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing arrangements making setting stacks
A01D87/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing loaders hay like field crops combined mowers
A01D89/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing pickups loaders chaffcutters balers fieldthreshers like ie attachments pickingup hay field crops threshers windrow pickup apparatus
A01D90/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing vehicles carrying harvested crops means selfloading unloading combined mowers
A01D91/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing methods agricultural products essentially requiring use particular machines see relevant groups
A01D93/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing apparatus provided groups subclass
A01D2101/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing harvesting mowing lawnmowers
A01F1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs stationary apparatus hand tools forming binding like bundles baling mobile binders use field
A01F3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs handoperated implements cuttingup like mechanicallydriven cutters
A01F5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs handoperated implements threshing
A01F7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs threshing apparatus
A01F2009/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs threshing machines flails combines
A01F11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs threshing apparatus specially adapted maize particular crops cereals
